id,scientificNameWithoutAuthor,commonNames,gbifId,powoId,iucnCategory
1439473,Vancouveria planipetala,Redwood ivy; Redwood insideout flower; Redwood inside out flower; Redwood inside out-flower,5371721,262510-2,
1635860,Vanda × amoena,,5951006,77101333-1,
1728749,Vanda ampullacea,,8383243,77121486-1,
1796722,Vanda barnesii,,7756447,60459224-2,
1635863,Vanda bensonii,,2783184,660976-1,
1635864,Vanda bicolor,Two colored vanda,2783147,660978-1,
1635867,Vanda brunnea,,2783189,660981-1,
1789660,Vanda chirayupiniae,Abigail Orchid,12171336,77234224-1,
1790446,Vanda christensoniana,,8031801,77121553-1,
1854973,Vanda coelestis,,12273416,77299035-1,
1410122,Vanda coerulea,Blue orchid; Blue Vanda; Orchid; ꯀ꯭ꯋꯥꯛꯂꯩ; Mystique Orchid,2783163,660987-1,
1635871,Vanda coerulescens,Periwinkle Pinwheel; Blue Orchid; Lipgloss Orchid; Sky blue Vanda,2783181,660988-1,
1635874,Vanda cristata,,2783166,660994-1,
1783485,Vanda curvifolia,,7444833,77121554-1,
1635876,Vanda denisoniana,,2783194,660999-1,
